From,To,Year,Weight
10677,10676,1995,1
8200,6800,1995,1
8200,11178,1995,1
9475,9476,1995,1
8740,8739,1995,1
10790,10788,1995,1
10797,7078,1995,1
7949,7948,1995,1
8796,7474,1995,1
6781,6960,1995,1
6781,6848,1995,3
6781,7042,1995,1
6781,8835,1995,1
6781,6953,1995,1
6781,7962,1995,1
6781,7027,1995,1
6781,6890,1995,1
6781,6800,1995,1
6781,7472,1995,1
6782,8376,1995,1
6782,8283,1995,1
6782,6933,1995,1
6782,9014,1995,1
6933,8589,1995,1
6784,11712,1995,1
6784,7481,1995,1
6785,6962,1995,1
6785,6956,1995,2
6786,11219,1995,1
6786,6852,1995,1
6786,7157,1995,1
6786,8389,1995,1
6787,8114,1995,1
6787,6826,1995,1
6789,6824,1995,1
